"","LAKE_HISTORY_ID","WLarea"
"1","0102ATT0020",320.610442333333
"2","0301MID0177A",718.679847096774
"3","0301WAT0166",486.578573735726
"4","0302MIL0092",258.479577640449
"5","0402GOD0017",177.255504343434
"6","0403ROC0155",770.600511395349
"7","0601ESI0262",539.832799186992
"8","0601YOU0408",117.882139492754
"9","0602LLY5637",776.663442086957
"10","0701CRO0185",1960.321222985
"11","0703ONE0073",138.123779692308
"12","0801DAR0750",202.550305956679
"13","0801KAY0984A",272.681406029412
"14","0903SOU0017A",2797.9615369515
"15","0905LOW0061",9379.94296202532
"16","0905MUD0227",271.342682030075
"17","0905ROC0231",1054.65396142857
"18","1003FRA5095",477.770452978454
"19","1005BUT5350",116.84177226087
"20","1005UWB0454",487.934876666667
"21","1104COU0690",259.166478178138
"22","1104DUC0387",230.527016666667
"23","1104FOU0325",264.180322243902
"24","1201ECA0703A",883.969918266979
"25","1201UWB5549",218.006378148148
"26","1202COL0649",124.436020555556
"27","1301MEL0331",134.728494142857
"28","1304PRI0351H",167.013525205479
"29","1306STU0453A",2650.75860522876
"30","1310BLA0N80B",122.482280708661
"31","1311WAT0270",199.184406432749
"32","1401MON0096A",970.56464088785
"33","1401SWA0211",119.253084301887
"34","1402RE10003",100.878133556818
"35","1501LUC0982B",246.921571754386
"36","1701CAN0889",370.528137792208
"37","1701GRE0885",210.825115365854
"38","1701LOW0855",1595.20136896552
"39","1702NEW0292",118.146805182482
"40","1702UWB0159",612.22202875
