"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0102UWBONT25058",-78.71215,43.06514
"0102UWBONTA5058",-78.16492,43.02448
"0104UWB5578",-79.12094,42.56519
"0202UWB5553",-79.32713,42.17223
"0301SUN0262",-77.96382,43.20372
"0302UWBON5368",-77.53811,43.01378
"0402CAL0102",-77.86028,42.98503
"0403UWBON5269",-78.02747,42.52393
"0403UWBON5270",-78.00614,42.53157
"0403UWBPA5269",-77.71182,42.1828
"0403UWBPA5270",-77.71326,42.1802
"0404UWB5318",-77.63472,42.455
"0404UWBPA5318",-77.85011,42.40667
"0601TRA5332",-75.67846,42.24326
"0603HUC58889",-76.15927,42.41856
"0603UWBPA5003",-76.56055,42.15624
"0603UWBPA5004",-76.55893,42.24856
"0603UWBPA5030",-76.56689,42.28808
"0603UWBPA5031",-76.65732,42.37271
"0603UWBPA5032",-76.66669,42.36534
"0603UWBPA5033",-76.68061,42.36292
"0603UWBPA5034",-76.68437,42.35221
"0603UWBPA5035",-76.70473,42.29068
"0603UWBPA5036",-76.65232,42.29184
"0603UWBPA5037",-76.70859,42.41462
"0603UWBPA5039",-76.67426,42.42204
"0603UWBSR5003",-76.49571,42.01156
"0603UWBSR5004",-76.4586,42.02311
"0603UWBSR5030",-76.29449,42.09597
"0603UWBSR5031",-76.29382,42.10617
"0603UWBSR5032",-76.28236,42.09857
"0603UWBSR5033",-76.27631,42.07936
"0603UWBSR5034",-76.25436,42.07167
"0603UWBSR5035",-76.25784,42.04446
"0603UWBSR5036",-76.26367,42.00447
"0603UWBSR5037",-76.27931,42.01417
"0603UWBSR5039",-76.32934,42.13926
"0701CAR0204",-76.39014,43.01761
"0703SPR0228",-76.01308,43.02169
"0703UWBONT5167",-76.18288,43.35472
"0703UWBONTP5167",-75.86682,43.23859
"0706OWA0212",-76.5282,42.8738
"0801DEN0208",-75.33173,43.54448
"0801FOR5705",-75.47993,43.81207
"0902UWBC-5114",-74.17932,44.46212
"0902UWBSL5114",-74.20792,44.64265
"0902UWBSLC5082",-74.10696,44.61401
"0902UWBSLCB5082",-74.48737,44.70926
"0903HIG0147",-74.65051,44.08677
"1003ADI0100",-74.28449,44.35457
"1101FOR0224",-73.66793,43.23092
"1201AVE0200",-74.3856,43.06269
"1201DEL6901",-73.90625,42.76525
"1201FIS0728",-74.50254,43.18157
"1201ROM0108",-75.43575,43.26568
"1201STUP498",-73.82809,42.7354
"1301UWB0145",-73.99298,41.20784
"1301UWB0147",-74.02431,41.22025
"1301UWB0148",-74.0333,41.20387
"1301UWB0168",-73.86693,41.3923
"1301UWB0170",-73.88573,41.30334
"1301UWB0173",-73.86314,41.35666
"1301UWB0174",-73.8617,41.36628
"1301UWB0221",-74.01881,41.44332
"1301UWB0363",-74.02261,41.554
"1301UWB0412",-74.02531,41.58953
"1301UWB0414",-74.01479,41.66324
"1301UWB0422",-73.93987,41.79397
"1301UWB0423",-73.93775,41.79679
"1301UWB145A",-74.0007,41.20671
"1301UWB155A",-73.92535,41.2299
"1301UWB157B",-73.91972,41.24688
"1301UWB179A",-73.84052,41.33141
"1301UWB182A",-73.84718,41.36291
"1301UWB185A",-74.03034,41.35722
"1301UWB185C",-74.01683,41.3596
"1301UWB185D",-74.02241,41.35453
"1301UWB185F",-74.01362,41.36246
"1301UWB193B",-73.99435,41.33742
"1301UWB205B",-73.89333,41.39743
"1301UWB206C",-73.91682,41.42851
"1301UWB345BBB",-73.95878,41.53648
"1301UWB363A",-74.02043,41.53873
"1301UWB410A",-73.97762,41.59063
"1301UWB414A",-74.01857,41.6475
"1301UWB416B",-73.95813,41.62143
"1301UWB435A",-73.97287,41.80574
"1301UWB442A",-73.93567,41.94968
"1301UWB442B",-73.92332,41.95569
"1301UWB445B",-73.85902,41.92775
"1301UWBN145",-73.85233,42.38783
"1301UWBN145A",-73.84895,42.38899
"1301UWBN147",-73.86771,42.40869
"1301UWBN148",-73.87254,42.41093
"1301UWBN155A",-73.86284,42.35995
"1301UWBN157B",-73.77732,42.39326
"1301UWBN168",-73.84808,42.43692
"1301UWBN170",-73.82939,42.47202
"1301UWBN173",-73.82003,42.47109
"1301UWBN174",-73.85871,42.45348
"1301UWBN179A",-73.89001,42.44474
"1301UWBN182A",-73.9035,42.45645
"1301UWBN185A",-73.96375,42.46469
"1301UWBN185C",-73.95914,42.52021
"1301UWBN185D",-73.96107,42.50172
"1301UWBN185F",-73.93834,42.49882
"1301UWBN193B",-73.81937,42.48751
"1301UWBN205B",-73.92645,42.52558
"1301UWBN206C",-73.9154,42.5896
"1301UWBN221",-73.77317,42.55508
"1301UWBN345B",-73.67552,42.6516
"1301UWBN363",-73.75719,42.71941
"1301UWBN363A",-73.76709,42.71572
"1301UWBN410A",-73.62058,42.74366
"1301UWBN412",-73.60767,42.7461
"1301UWBN414",-73.61478,42.76152
"1301UWBN414A",-73.60228,42.77742
"1301UWBN416B",-73.55389,42.71415
"1301UWBN422",-73.50154,42.76622
"1301UWBN423",-73.50259,42.75945
"1301UWBN435A",-73.51841,42.70109
"1301UWBN442A",-73.47815,42.70536
"1301UWBN442B",-73.48819,42.70213
"1301UWBN445B",-73.42716,42.70513
"1310ACK0130",-73.59911,42.28078
"1403SHA0219",-74.70734,42.02687
"1701EBA0857",-72.94391,40.85986
"1701UWB5606",-76.31677,43.19668
"1701UWB5782",-72.82344,40.89798
"1701UWBBB5222",-72.88458,40.80313
"1701UWBFB5102",-72.59208,40.89316
"1701UWBFB5103",-72.58653,40.90221
"1701UWBFB5104",-72.58044,40.89818
"1701UWBFB5105",-72.5795,40.89643
"1701UWBFB5222",-72.81225,40.87265
"1701UWBRB5102",-72.63049,40.90091
"1701UWBRB5103",-72.63107,40.90167
"1701UWBRB5104",-72.63361,40.89892
"1701UWBRB5105",-72.6241,40.89809
"1702UNN5383",-73.54621,40.79473
"1702UWBCT5330",-73.56548,41.18578
"1702UWBCT5331",-73.58193,41.18143
"1702UWBCT5332",-73.58864,41.18121
"1702UWBCT5333",-73.58163,41.18991
"1702UWBCT5334",-73.57561,41.18576
"1702UWBCT5335",-73.5622,41.19212
"1702UWBCT5339",-73.57821,41.20523
"1702UWBCT5343",-73.54465,41.20528
"1702UWBCT5365",-73.52663,41.21246
"1702UWBCT5366",-73.52414,41.19733
"1702UWBCT5368",-73.51392,41.22769
"1702UWBCT5369",-73.51808,41.22784
"1702UWBER5004",-73.82782,40.99508
"1702UWBFI1103A",-71.99217,41.2635
"1702UWBHH5368",-73.58618,40.82745
"1702UWBHH5369",-73.61446,40.81038
"1702UWBLI1103A",-73.70318,41.11272
"1702UWBLI5004",-73.11734,40.91762
"1702UWBLI5330",-73.84014,40.75272
"1702UWBLI5339",-73.86649,40.70168
"1702UWBLI5343",-73.74557,40.75949
"1702UWBOB5365",-73.58434,40.88984
"1702UWBOB5366",-73.5851,40.88912
"1702UWBSI5332",-74.11906,40.59089
"1702UWBSI5333",-74.0817,40.61018
"1702UWBSI5334",-74.06028,40.60829
"1702UWBSI5335",-74.1134,40.58426
